iter	Passed	Remaining
399	36214	54321
400	36304	54230
401	36424	54183
402	36506	54080
403	36621	54026
404	36727	53957
405	36825	53877
406	36944	53827
407	37021	53717
408	37079	53579
409	37161	53476
410	37238	53365
411	37324	53269
412	37411	53173
413	37501	53081
414	37618	53028
415	37707	52935
416	37801	52849
417	37877	52738
418	37978	52662
419	38106	52623
420	38197	52533
421	38301	52460
422	38406	52388
423	38495	52295
424	38591	52212
425	38677	52114
426	38768	52023
427	38852	51923
428	38939	51828
429	39019	51723
430	39115	51639
431	39202	51544
432	39293	51453
433	39391	51372
434	39485	51285
435	39578	51197
436	39692	51137
437	39789	51054
438	39893	50979
439	39977	50880
440	40074	50797
441	40168	50710
442	40249	50607
443	40341	50517
444	40440	50437
445	40542	50360
446	40618	50250
447	40745	50204
448	40837	50114
449	40931	50027
450	41068	49992
451	41159	49901
452	41249	49809
453	41324	49698
454	41469	49672
455	41578	49602
456	41722	49573
457	41805	49472
458	41884	49367
459	41977	49277
460	42074	49193
461	42213	49157
462	42319	49082
463	42424	49007
464	42519	48920
465	42619	48838
466	42711	48747
467	42796	48649
468	42951	48629
469	43045	48540
470	43143	48455
471	43266	48399
472	43362	48312
473	43490	48261
474	43581	48169
475	43715	48123
476	43811	48036
477	43907	47949
478	44013	47873
479	44136	47814
480	44238	47733
481	44376	47691
482	44502	47634
483	44595	47543
484	44685	47450
485	44832	47415
486	44929	47328
487	45010	47223
488	45110	47140
489	45220	47066
490	45308	46969
491	45416	46893
492	45514	46806
493	45604	46712
494	45693	46616
495	45771	46509
496	45873	46426
497	45957	46326
498	46032	46217
499	46157	46157
500	46253	46068
501	46378	46008
502	46465	45911
503	46603	45863
504	46693	45769
505	46801	45691
506	46958	45661
507	47091	45608
508	47172	45504
509	47270	45416
510	47351	45313
511	47456	45231
512	47561	45150
513	47669	45072
514	47761	44979
515	47847	44880
516	47983	44827
517	48064	44723
518	48157	44631
519	48249	44537
520	48343	44445
521	48442	44359
522	48542	44273
523	48628	44174
524	48724	44083
525	48808	43983
526	48897	43887
527	48986	43791
528	49076	43696
529	49163	43597
530	49284	43530
531	49390	43449
532	49483	43356
533	49579	43265
534	49672	43173
535	49769	43084
536	49854	42984
537	49951	42895
538	50058	42814
539	50140	42712
540	50219	42607
541	50297	42502
542	50381	42401
543	50468	42304
544	50593	42238
545	50701	42158
546	50811	42080
547	50898	41981
548	50985	41884
549	51090	41801
550	51182	41707
551	51269	41609
552	51374	41526
553	51476	41441
554	51560	41341
555	51642	41239
556	51719	41134
557	51809	41038
558	51898	40943
559	51989	40848
560	52097	40767
561	52201	40683
562	52330	40619
563	52451	40547
564	52541	40452
565	52625	40352
566	52716	40257
567	52845	40192
568	52980	40130
569	53069	40034
570	53167	39945
571	53256	39848
572	53344	39752
573	53467	39681
574	53555	39584
575	53640	39485
576	53716	39379
577	53797	39278
578	53883	39179
579	53987	39094
580	54081	39001
581	54176	38910
582	54264	38813
583	54379	38736
584	54470	38641
585	54570	38553
586	54680	38472
587	54818	38410
588	54910	38315
589	54998	38219
590	55099	38131
591	55177	38028
592	55290	37948
593	55383	37854
594	55478	37762
595	55565	37665
596	55654	37569
597	55748	37476
598	55838	37381
599	55938	37292
600	56033	37200
601	56125	37106
602	56217	37012
603	56319	36924
604	56424	36838
605	56531	36754
606	56624	36661
607	56713	36565
608	56811	36475
609	56906	36383
610	56999	36289
611	57085	36191
612	57178	36098
613	57275	36007
614	57374	35917
615	57472	35826
616	57587	35746
617	57684	35656
618	57769	35557
619	57885	35478
620	57974	35382
621	58069	35289
622	58161	35195
623	58246	35097
624	58358	35015
625	58453	34922
626	58545	34828
627	58633	34732
628	58728	34639
629	58807	34537
630	58903	34445
631	59012	34361
632	59120	34277
633	59217	34185
634	59310	34091
635	59410	34002
636	59509	33912
637	59590	33811
638	59675	33713
639	59762	33616
640	59914	33555
641	60029	33474
642	60117	33377
643	60198	33277
644	60294	33185
645	60380	33087
646	60480	32998
647	60591	32914
648	60692	32824
649	60784	32729
650	60882	32639
651	60998	32557
652	61107	32471
653	61239	32398
654	61337	32307
655	61436	32216
656	61540	32128
657	61654	32045
658	61745	31950
659	61878	31876
660	62003	31799
661	62111	31712
662	62208	31620
663	62314	31532
664	62412	31440
665	62516	31352
666	62607	31256
667	62679	31152
668	62746	31044
669	62837	30949
670	62931	30856
671	63068	30783
672	63148	30683
673	63255	30595
674	63354	30503
